standard_name,alias,interval_seconds,program
"RF_1_Tot60s","RFmin",NA,"S110_v02.CR300;HI Mesonet_0541_v02p3-0.CR1X;HI Mesonet_0521_v02p2.CR1X;HI Mesonet_0521_v02p1.CR1X;HI Mesonet_0506_v02p3-0.CR1X;HI Mesonet_0506_v02p3.CR1X;S141_v10_5min.CR3;S151_v10_FOG.CR3;S151_v12.CR3;S151_v12p1.CR3;S152_v09_DL.CR3;S152_v12p1.CR3;S153_v10.CR3;S153_v11.CR3;S153_v12.CR3;S153_v12_p1han.CR3;S119_v09.CR3;S119_v10_5min.CR3;S119_v12p1.CR3;S161_v08.CR3;CWI_Nakula_Climate_v11_wFOG.CR3;LyonArboretum_v02_wTsurf_Arable_BV_dis.CR3;LyonArboretum_20211011.CR3;S151_v09_CWI.CR3;S151_v08_CWI.CR3;S151_v08.CR3;S151_v07b.CR3;S151_v07.CR3;S151_v06.cr3;S151_v05.CR3;S151_v04.CR3;HI Mesonet_HIPPNET Universal_v01s281.cr3;HI Mesonet_HIPPNET Universal_v01s282.cr3;HI Mesonet_HIPPNET Universal_v01s283.cr3;HI Mesonet_HIPPNET Universal_v01s286.cr3;HI Mesonet_HIPPNET Universal_v01s287.cr3;HI Mesonet_HIPPNET Universal_v01s288.cr3;HI Mesonet_HIPPNET Universal_v01s288p1.cr3;HI Mesonet_0145_v02p1.CR300;HI Mesonet_NuuanuNet_v02.CR300;HI Mesonet_universal_v02p3.CR1X;HI Mesonet_universal_v02p2.CR1X;HI Mesonet_universal_v02p1.CR1X;HI Mesonet_universal_v02.CR1X;HI Mesonet_universal_CR3000_v03.CR3;HI Mesonet_universal_CR3000_v02p2.CR3;HI Mesonet_universal_CR3000_v02p1.CR3;HI Mesonet_universal_CR3000_v02.CR3;HI Mesonet_universal_CR3000_v01p0.CR3;HI Mesonet_universal_CR3000_v01.CR3"
"SCAN_INTERVAL","SCAN_INTERVAL",NA,"S110_v02.CR300;S141_v10_5min.CR3;S151_v10_FOG.CR3;S151_v12.CR3;S151_v12p1.CR3;S152_v09_DL.CR3;S152_v12p1.CR3;S153_v10.CR3;S153_v11.CR3;S153_v12.CR3;S153_v12_p1han.CR3;S119_v09.CR3;S119_v10_5min.CR3;S119_v12p1.CR3;S161_v08.CR3;CWI_Nakula_Climate_v11_wFOG.CR3;LyonArboretum_v02_wTsurf_Arable_BV_dis.CR3;LyonArboretum_20211011.CR3;S151_v09_CWI.CR3;S151_v08_CWI.CR3;S151_v08.CR3;S151_v07b.CR3;S151_v07.CR3;S151_v06.cr3;S151_v05.CR3;S151_v04.CR3;S151_v03.cr3;IPIF_v12.cr3;IPIF_v11.cr3;IPIF_v10.cr3;IPIF_v09.cr3;Spencer_v06.cr3;Spencer_v05.cr3;Spencer_v04.cr3;Spencer_v03.cr3;Laupahoehoe_v24.CR3;Laupahoehoe_v23.CR3;Laupahoehoe_v22.CR3;Palamanui_v11.CR3;Palamanui_v10.CR3;Palamanui_v09.CR3;Mamalahoa_v10.CR3;Mamalahoa_v09.CR3;Mamalahoa_v08.CR3;Puuwaawaa_v07.CR3;Puuwaawaa_v06.CR3;Puuwaawaa_v05.CR3;LaupahoehoeSoil_v03.CR1;LaupahoehoeSoil_v02.CR1;PuuwaawaaSoil_v03.CR1;PuuwaawaaSoil_v02.CR1"
"OUTPUT_INTERVAL","OUTPUT_INTERVAL",NA,"S110_v02.CR300;S141_v10_5min.CR3;S151_v10_FOG.CR3;S151_v12.CR3;S151_v12p1.CR3;S152_v09_DL.CR3;S152_v12p1.CR3;S153_v10.CR3;S153_v11.CR3;S153_v12.CR3;S153_v12_p1han.CR3;S119_v09.CR3;S119_v10_5min.CR3;S119_v12p1.CR3;S161_v08.CR3;CWI_Nakula_Climate_v11_wFOG.CR3;LyonArboretum_v02_wTsurf_Arable_BV_dis.CR3;LyonArboretum_20211011.CR3;S151_v09_CWI.CR3;S151_v08_CWI.CR3;S151_v08.CR3;S151_v07b.CR3;S151_v07.CR3;S151_v06.cr3;S151_v05.CR3;S151_v04.CR3;S151_v03.cr3;IPIF_v12.cr3;IPIF_v11.cr3;IPIF_v10.cr3;IPIF_v09.cr3;Spencer_v06.cr3;Spencer_v05.cr3;Spencer_v04.cr3;Spencer_v03.cr3;Laupahoehoe_v24.CR3;Laupahoehoe_v23.CR3;Laupahoehoe_v22.CR3;Palamanui_v11.CR3;Palamanui_v10.CR3;Palamanui_v09.CR3;Mamalahoa_v10.CR3;Mamalahoa_v09.CR3;Mamalahoa_v08.CR3;Puuwaawaa_v07.CR3;Puuwaawaa_v06.CR3;Puuwaawaa_v05.CR3;LaupahoehoeSoil_v03.CR1;LaupahoehoeSoil_v02.CR1;PuuwaawaaSoil_v03.CR1;PuuwaawaaSoil_v02.CR1"
"NUM_REC_LGR","NUM_REC_LGR",NA,"S110_v02.CR300;S141_v10_5min.CR3;S151_v10_FOG.CR3;S151_v12.CR3;S151_v12p1.CR3;S152_v09_DL.CR3;S152_v12p1.CR3;S153_v10.CR3;S153_v11.CR3;S153_v12.CR3;S153_v12_p1han.CR3;S119_v09.CR3;S119_v10_5min.CR3;S119_v12p1.CR3;S161_v08.CR3;CWI_Nakula_Climate_v11_wFOG.CR3;LyonArboretum_v02_wTsurf_Arable_BV_dis.CR3;LyonArboretum_20211011.CR3;S151_v09_CWI.CR3;S151_v08_CWI.CR3;S151_v08.CR3;S151_v07b.CR3;S151_v07.CR3;S151_v06.cr3;S151_v05.CR3"
"NUM_REC_CRD","NUM_REC_CRD",NA,"S110_v02.CR300;S141_v10_5min.CR3;S151_v10_FOG.CR3;S151_v12.CR3;S151_v12p1.CR3;S152_v09_DL.CR3;S152_v12p1.CR3;S153_v10.CR3;S153_v11.CR3;S153_v12.CR3;S153_v12_p1han.CR3;S119_v09.CR3;S119_v10_5min.CR3;S119_v12p1.CR3;S161_v08.CR3;CWI_Nakula_Climate_v11_wFOG.CR3;LyonArboretum_v02_wTsurf_Arable_BV_dis.CR3;LyonArboretum_20211011.CR3;S151_v09_CWI.CR3;S151_v08_CWI.CR3;S151_v08.CR3;S151_v07b.CR3;S151_v07.CR3;S151_v06.cr3;S151_v04.CR3;S151_v03.cr3"
"SM_1_Avg","SM_Avg",3600,"S110_v02.CR300"
"EC_1_Avg","EC_Avg",3600,"S110_v02.CR300"
"Tsoil_1_Avg","Tsoil_Avg",3600,"S110_v02.CR300;S141_v10_5min.CR3;S151_v10_FOG.CR3;S152_v09_DL.CR3;S153_v10.CR3;S119_v09.CR3;S119_v10_5min.CR3;S161_v08.CR3;S151_v09_CWI.CR3;S151_v08_CWI.CR3;S151_v08.CR3;S151_v07b.CR3;S151_v07.CR3;S151_v06.cr3;S151_v05.CR3;S151_v04.CR3;S151_v03.cr3"
"Ka_1_Avg","P_Avg",3600,"S110_v02.CR300"
"PA_1_Avg","PA_Avg",3600,"S110_v02.CR300"
"VR_1_Avg","VR_Avg",3600,"S110_v02.CR300"
"SM_1_Max","SM_Max",3600,"S110_v02.CR300"
"EC_1_Max","EC_Max",3600,"S110_v02.CR300"
"Tsoil_1_Max","Tsoil_Max",3600,"S110_v02.CR300"
"Ka_1_Max","P_Max",3600,"S110_v02.CR300"
"PA_1_Max","PA_Max",3600,"S110_v02.CR300"
"VR_1_Max","VR_Max",3600,"S110_v02.CR300"
"SM_1_Min","SM_Min",3600,"S110_v02.CR300"
"EC_1_Min","EC_Min",3600,"S110_v02.CR300"
"Tsoil_1_Min","Tsoil_Min",3600,"S110_v02.CR300"
"Ka_1_Min","P_Min",3600,"S110_v02.CR300"
"PA_1_Min","PA_Min",3600,"S110_v02.CR300"
"VR_1_Min","VR_Min",3600,"S110_v02.CR300"
