station_id,standard_name,sensor_number,sensor_height
133,Rin_1_Avg,0,2.72
133,Rout_1_Avg,0,2.72
133,Rnet_1_Avg,0,2.72
133,Albedo_1_Avg,0,2.72
133,Tsrf_1_Avg,0,2.72
133,Tsky_1_Avg,0,2.72
133,Tair_1_Avg,0,2
133,RH_1_Avg,0,2
133,VP_1_Avg,0,2
133,VPsat_1_Avg,0,2
133,VPD_1_Avg,0,2
133,Tair_2_Avg,1,2
133,RH_2_Avg,1,2
133,VP_2_Avg,1,2
133,VPsat_2_Avg,1,2
133,VPD_2_Avg,1,2
133,WS_1_Avg,0,3.32
133,WSrs_1_Avg,0,3.32
133,WDuv_1_Avg,0,3.32
133,WDrs_1_Avg,0,3.32
133,WD_1_StdY,0,3.32
133,WD_1_StdCS,0,3.32
133,P_1_Avg,0,1.27
133,Psl_1_Avg,0,1.27
133,SM_1_Avg,0,-0.08
133,SM_2_Avg,1,-0.31
133,SM_3_Avg,2,-0.61
133,Tsoil_1_Avg,0,-0.08
133,Tsoil_2_Avg,1,-0.08
133,Tsoil_3_Avg,2,-0.16
133,Tsoil_4_Avg,3,-0.46
133,SHF_1_Avg,0,-0.16
133,RF_1_Tot300s,0,1.4
133,RFint_1_Max,0,1.4
134,SWin_1_Avg,0,2.8
134,SWout_1_Avg,0,2.8
134,LWin_1_Avg,0,2.8
134,LWout_1_Avg,0,2.8
134,SWnet_1_Avg,0,2.8
134,LWnet_1_Avg,0,2.8
134,Rin_1_Avg,0,2.8
134,Rout_1_Avg,0,2.8
134,Rnet_1_Avg,0,2.8
134,Albedo_1_Avg,0,2.8
134,Tsrf_1_Avg,0,2.8
134,Tsky_1_Avg,0,2.8
134,Tair_1_Avg,0,2
134,RH_1_Avg,0,2
134,VP_1_Avg,0,2
134,VPsat_1_Avg,0,2
134,VPD_1_Avg,0,2
134,Tair_2_Avg,1,2
134,RH_2_Avg,1,2
134,VP_2_Avg,1,2
134,VPsat_2_Avg,1,2
134,VPD_2_Avg,1,2
134,WS_1_Avg,0,3.18
134,WSrs_1_Avg,0,3.18
134,WDuv_1_Avg,0,3.18
134,WDrs_1_Avg,0,3.18
134,WD_1_StdY,0,3.18
134,WD_1_StdCS,0,3.18
134,P_1_Avg,0,1.38
134,Psl_1_Avg,0,1.38
134,SM_1_Avg,0,-0.08
134,SM_2_Avg,1,-0.31
134,SM_3_Avg,2,-0.61
134,Tsoil_1_Avg,0,-0.08
134,Tsoil_2_Avg,1,-0.08
134,Tsoil_3_Avg,2,-0.16
134,Tsoil_4_Avg,3,-0.46
134,SHF_1_Avg,0,-0.16
134,RF_1_Tot300s,0,1.3
134,RFint_1_Max,0,1.3
141,SWin_1_Avg,0,3
141,SWout_1_Avg,0,3
141,LWin_1_Avg,0,3
141,LWout_1_Avg,0,3
141,SWnet_1_Avg,0,3
141,LWnet_1_Avg,0,3
141,Rin_1_Avg,0,3
141,Rout_1_Avg,0,3
141,Rnet_1_Avg,0,3
141,Albedo_1_Avg,0,3
141,Tsrf_1_Avg,0,3
141,Tsky_1_Avg,0,3
141,Tair_1_Avg,0,2.89
141,RH_1_Avg,0,2.89
141,VP_1_Avg,0,2.89
141,VPsat_1_Avg,0,2.89
141,VPD_1_Avg,0,2.89
141,Tair_2_Avg,1,2.82
141,RH_2_Avg,1,2.82
141,VP_2_Avg,1,2.82
141,VPsat_2_Avg,1,2.82
141,VPD_2_Avg,1,2.82
141,WS_1_Avg,0,3.47
141,WSrs_1_Avg,0,3.47
141,WDuv_1_Avg,0,3.47
141,WDrs_1_Avg,0,3.47
141,WD_1_StdY,0,3.47
141,WD_1_StdCS,0,3.47
141,P_1_Avg,0,1.02
141,Psl_1_Avg,0,1.02
141,SM_1_Avg,0,-0.08
141,SM_2_Avg,1,-0.24
141,Tsoil_1_Avg,0,-0.08
141,SHF_1_Avg,0,-0.16
141,RF_1_Tot300s,0,3.07
141,RFint_1_Max,0,3.07
141,SHF_2_Avg,1,
143,SWin_1_Avg,0,
143,SWout_1_Avg,0,
143,LWin_1_Avg,0,
143,LWout_1_Avg,0,
143,SWnet_1_Avg,0,
143,LWnet_1_Avg,0,
143,Rin_1_Avg,0,
143,Rout_1_Avg,0,
143,Rnet_1_Avg,0,
143,Albedo_1_Avg,0,
143,Tsrf_1_Avg,0,
143,Tsky_1_Avg,0,
143,Tair_1_Avg,0,
143,RH_1_Avg,0,
143,VP_1_Avg,0,
143,VPsat_1_Avg,0,
143,VPD_1_Avg,0,
143,Tair_2_Avg,1,
143,RH_2_Avg,1,
143,VP_2_Avg,1,
143,VPsat_2_Avg,1,
143,VPD_2_Avg,1,
143,WS_1_Avg,0,
143,WSrs_1_Avg,0,
143,WDuv_1_Avg,0,
143,WDrs_1_Avg,0,
143,WD_1_StdY,0,
143,WD_1_StdCS,0,
143,SM_1_Avg,0,
143,Tsoil_1_Avg,0,
143,SHF_1_Avg,0,
143,SHF_2_Avg,1,
144,SWin_1_Avg,0,2.9
144,SWout_1_Avg,0,2.9
144,LWin_1_Avg,0,2.9
144,LWout_1_Avg,0,2.9
144,SWnet_1_Avg,0,2.9
144,LWnet_1_Avg,0,2.9
144,Rin_1_Avg,0,2.9
144,Rout_1_Avg,0,2.9
144,Rnet_1_Avg,0,2.9
144,Albedo_1_Avg,0,2.9
144,Tsrf_1_Avg,0,2.9
144,Tsky_1_Avg,0,2.9
144,Tair_1_Avg,0,2
144,RH_1_Avg,0,2
144,VP_1_Avg,0,2
144,VPsat_1_Avg,0,2
144,VPD_1_Avg,0,2
